mysql> select * from rt2;
+---------------------+----------------+-----------+----------+-----------+------+------+------+------+------+------+------+------+------+------+------+------+
| createdDate         | sequenceNumber | frameType | latitude | longitude | c1   | c2   | c3   | c4   | c5   | c6   | c7   | c8   | c9   | c10  | c11  | c12  |
| 2014-08-09 18:36:45 |       11413559 |         3 | 45.04    | 29.06     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:36:50 |       11413559 |         4 | 45.34    | 28.95     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:36:55 |       11413559 |         5 | 45.64    | 28.84     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:00 |       11413559 |         6 | 45.95    | 28.72     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:05 |       11413559 |         7 | 46.25    | 28.61     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:10 |       11413559 |         8 | 46.55    | 28.49     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:15 |       11413559 |         9 | 46.85    | 28.38     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:20 |       11413559 |        10 | 47.15    | 28.26     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:25 |       11413559 |        11 | 47.45    | 28.14     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:30 |       11413559 |        12 | 47.75    | 28.02     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:35 |       11413559 |        13 | 48.05    | 27.9      |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:45 |       11413559 |        16 | 48.66    | 27.66     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:55 |       11413559 |        17 | 49.26    | 27.41     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:37:55 |       11413559 |        18 | 49.26    | 27.41     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:05 |       11413559 |        19 | 49.86    | 27.15     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:05 |       11413559 |        20 | 49.86    | 27.15     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:10 |       11413559 |        21 | 50.16    | 27.02     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:20 |       11413559 |        22 | 50.76    | 26.76     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:20 |       11413559 |        23 | 50.76    | 26.76     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
| 2014-08-09 18:38:30 |       11413560 |         0 | 51.36    | 26.49     |  601 |    0 |    0 |  815 |    0 |  755 |    0 |  337 |    0 |  506 |  971 |  962 |
